Paper,DOI,Treatment_1,Treatment_2,Treatment_3,Treatment_4,Treatment_5,Treatment_6,Treatment_7,Trt.combo,Trt.code,Control
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Fallow control plots, residues incorporated",200 days after CC sowing,NA,NA,NA,NA,NA,"Fallow control plots, residues incorporated, 200 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Fallow control plots, residues incorporated",232 days after CC sowing,NA,NA,NA,NA,NA,"Fallow control plots, residues incorporated, 232 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Fallow control plots, residues incorporated",255 days after CC sowing,NA,NA,NA,NA,NA,"Fallow control plots, residues incorporated, 255 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Fallow control plots, residues incorporated",280 days after CC sowing,NA,NA,NA,NA,NA,"Fallow control plots, residues incorporated, 280 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Vetch plots, residues incorporated",200 days after CC sowing,NA,NA,NA,NA,NA,"Vetch plots, residues incorporated, 200 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Vetch plots, residues incorporated",232 days after CC sowing,NA,NA,NA,NA,NA,"Vetch plots, residues incorporated, 232 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Vetch plots, residues incorporated",255 days after CC sowing,NA,NA,NA,NA,NA,"Vetch plots, residues incorporated, 255 days after CC sowing",,
Sanz-Cobena et al. 2014,10.1016/j.scitotenv.2013.07.023,"Vetch plots, residues incorporated",280 days after CC sowing,NA,NA,NA,NA,NA,"Vetch plots, residues incorporated, 280 days after CC sowing",,
Jangid et al. 2008,10.1016/j.soilbio.2008.07.030,Forest reference site,NA,NA,NA,NA,NA,NA,Forest reference site,,
Jangid et al. 2008,10.1016/j.soilbio.2008.07.030,Cropland,Conventional tillage,Inorganic fertilizer,NA,NA,NA,NA,"Cropland, Conventional tillage, Inorganic fertilizer",,
Jangid et al. 2008,10.1016/j.soilbio.2008.07.030,Cropland,Conventional tillage,Poultry litter,NA,NA,NA,NA,"Cropland, Conventional tillage, Poultry litter",,
Jangid et al. 2008,10.1016/j.soilbio.2008.07.030,Hayed pasture,Inorganic fertilizer,Poultry litter,NA,NA,NA,NA,"Hayed pasture, Inorganic fertilizer, Poultry litter",,
Jangid et al. 2008,10.1016/j.soilbio.2008.07.030,Hayed pasture,Poultry litter,Poultry litter,NA,NA,NA,NA,"Hayed pasture, Poultry litter, Poultry litter",,
Jangid et al. 2008,10.1016/j.soilbio.2008.07.030,Grazed pasture,Inorganic fertilizer,Poultry litter,NA,NA,NA,NA,"Grazed pasture, Inorganic fertilizer, Poultry litter",,
Jangid et al. 2008,10.1016/j.soilbio.2008.07.030,Grazed pasture,Poultry litter,Poultry litter,NA,NA,NA,NA,"Grazed pasture, Poultry litter, Poultry litter",,
Sharma et al. 2005,10.1016/j.still.2004.08.002,Beginning soil properties,NA,NA,NA,NA,NA,NA,Beginning soil properties,0,
Sharma et al. 2005,10.1016/j.still.2004.08.002,Conventional tillage,Sorghum stover residues,0 kg N ha-1,NA,NA,NA,NA,"Conventional tillage, Sorghum stover residues, 0 kg N ha-1",,
Sharma et al. 2005,10.1016/j.still.2004.08.002,Conventional tillage,Sorghum stover residues,30 kg N ha-1,NA,NA,NA,NA,"Conventional tillage, Sorghum stover residues, 30 kg N ha-1",,
Sharma et al. 2005,10.1016/j.still.2004.08.002,Conventional tillage,Sorghum stover residues,60 kg N ha-1,NA,NA,NA,NA,"Conventional tillage, Sorghum stover residues, 60 kg N ha-1",,
Sharma et al. 2005,10.1016/j.still.2004.08.002,Conventional tillage,Sorghum stover residues,90 kg N ha-1,NA,NA,NA,NA,"Conventional tillage, Sorghum stover residues, 90 kg N ha-1",,
Sharma et al. 2005,10.1016/j.still.2004.08.002,Conventional tillage,Glyricidia loppings,0 kg N ha-1,NA,NA,NA,NA,"Conventional tillage, Glyricidia loppings, 0 kg N ha-1",,
Sharma et al. 2005,10.1016/j.still.2004.08.002,Conventional tillage,Glyricidia loppings,30 kg N ha-1,NA,NA,NA,NA,"Conventional tillage, Glyricidia loppings, 30 kg N ha-1",,
Sharma et al. 2005,10.1016/j.still.2004.08.002,Conventional tillage,Glyricidia loppings,60 kg N ha-1,NA,NA,NA,NA,"Conventional tillage, Glyricidia loppings, 60 kg N ha-1",,
Sharma et al. 2005,10.1016/j.still.2004.08.002,Conventional tillage,Glyricidia loppings,90 kg N ha-1,NA,NA,NA,NA,"Conventional tillage, Glyricidia loppings, 90 kg N ha-1",,
Sharma et al. 2005,10.1016/j.still.2004.08.002,Conventional tillage,No residues,0 kg N ha-1,NA,NA,NA,NA,"Conventional tillage, No residues, 0 kg N ha-1",,
Sharma et al. 2005,10.1016/j.still.2004.08.002,Conventional tillage,No residues,30 kg N ha-1,NA,NA,NA,NA,"Conventional tillage, No residues, 30 kg N ha-1",,
Sharma et al. 2005,10.1016/j.still.2004.08.002,Conventional tillage,No residues,60 kg N ha-1,NA,NA,NA,NA,"Conventional tillage, No residues, 60 kg N ha-1",,
Sharma et al. 2005,10.1016/j.still.2004.08.002,Conventional tillage,No residues,90 kg N ha-1,NA,NA,NA,NA,"Conventional tillage, No residues, 90 kg N ha-1",,
Sharma et al. 2005,10.1016/j.still.2004.08.002,Minimum tillage,Sorghum stover residues,0 kg N ha-1,NA,NA,NA,NA,"Minimum tillage, Sorghum stover residues, 0 kg N ha-1",,
Sharma et al. 2005,10.1016/j.still.2004.08.002,Minimum tillage,Sorghum stover residues,30 kg N ha-1,NA,NA,NA,NA,"Minimum tillage, Sorghum stover residues, 30 kg N ha-1",,
Sharma et al. 2005,10.1016/j.still.2004.08.002,Minimum tillage,Sorghum stover residues,60 kg N ha-1,NA,NA,NA,NA,"Minimum tillage, Sorghum stover residues, 60 kg N ha-1",,
Sharma et al. 2005,10.1016/j.still.2004.08.002,Minimum tillage,Sorghum stover residues,90 kg N ha-1,NA,NA,NA,NA,"Minimum tillage, Sorghum stover residues, 90 kg N ha-1",,
Sharma et al. 2005,10.1016/j.still.2004.08.002,Minimum tillage,Glyricidia loppings,0 kg N ha-1,NA,NA,NA,NA,"Minimum tillage, Glyricidia loppings, 0 kg N ha-1",,
Sharma et al. 2005,10.1016/j.still.2004.08.002,Minimum tillage,Glyricidia loppings,30 kg N ha-1,NA,NA,NA,NA,"Minimum tillage, Glyricidia loppings, 30 kg N ha-1",,
Sharma et al. 2005,10.1016/j.still.2004.08.002,Minimum tillage,Glyricidia loppings,60 kg N ha-1,NA,NA,NA,NA,"Minimum tillage, Glyricidia loppings, 60 kg N ha-1",,
Sharma et al. 2005,10.1016/j.still.2004.08.002,Minimum tillage,Glyricidia loppings,90 kg N ha-1,NA,NA,NA,NA,"Minimum tillage, Glyricidia loppings, 90 kg N ha-1",,
Sharma et al. 2005,10.1016/j.still.2004.08.002,Minimum tillage,No residues,0 kg N ha-1,NA,NA,NA,NA,"Minimum tillage, No residues, 0 kg N ha-1",,
Sharma et al. 2005,10.1016/j.still.2004.08.002,Minimum tillage,No residues,30 kg N ha-1,NA,NA,NA,NA,"Minimum tillage, No residues, 30 kg N ha-1",,
Sharma et al. 2005,10.1016/j.still.2004.08.002,Minimum tillage,No residues,60 kg N ha-1,NA,NA,NA,NA,"Minimum tillage, No residues, 60 kg N ha-1",,
Sharma et al. 2005,10.1016/j.still.2004.08.002,Minimum tillage,No residues,90 kg N ha-1,NA,NA,NA,NA,"Minimum tillage, No residues, 90 kg N ha-1",,
Gál et al. 2007,10.1016/j.still.2007.02.007,No till,NA,NA,NA,NA,NA,NA,No till,,
Gál et al. 2007,10.1016/j.still.2007.02.007,Moldboard plow,NA,NA,NA,NA,NA,NA,Moldboard plow,,
Gál et al. 2007,10.1016/j.still.2007.02.007,Continuous maize,NA,NA,NA,NA,NA,NA,Continuous maize,,
Gál et al. 2007,10.1016/j.still.2007.02.007,Soybean-maize rotation,NA,NA,NA,NA,NA,NA,Soybean-maize rotation,,
Jin et al. 2007,10.1016/j.still.2007.05.002,Beginning soil properties,NA,NA,NA,NA,NA,NA,Beginning soil properties,0,
Jin et al. 2007,10.1016/j.still.2007.05.002,Conventional tillage,NA,NA,NA,NA,NA,NA,Conventional tillage,1,1
Jin et al. 2007,10.1016/j.still.2007.05.002,No till,NA,NA,NA,NA,NA,NA,No till,2,
Jin et al. 2007,10.1016/j.still.2007.05.002,Reduced tillage,NA,NA,NA,NA,NA,NA,Reduced tillage,3,
Jin et al. 2007,10.1016/j.still.2007.05.002,Subsoiling,NA,NA,NA,NA,NA,NA,Subsoiling,4,
Jin et al. 2007,10.1016/j.still.2007.05.002,Two-crop rotation per year,NA,NA,NA,NA,NA,NA,Two-crop rotation per year,5,
So et al. 2009,10.1016/j.still.2008.10.017,No till,NA,NA,NA,NA,NA,NA,No till,2,
So et al. 2009,10.1016/j.still.2008.10.017,Conventional tillage,NA,NA,NA,NA,NA,NA,Conventional tillage,1,1
Melero et al. 2011,10.1016/j.still.2011.04.007,No till,NA,NA,NA,NA,NA,NA,No till,2,
Melero et al. 2011,10.1016/j.still.2011.04.007,Conventional tillage,NA,NA,NA,NA,NA,NA,Conventional tillage,1,1
Melero et al. 2011,10.1016/j.still.2011.04.007,No till,0 kg N ha-1,NA,NA,NA,NA,NA,"No till, 0 kg N ha-1",,
Melero et al. 2011,10.1016/j.still.2011.04.007,No till,50 kg N ha-1,NA,NA,NA,NA,NA,"No till, 50 kg N ha-1",,
Melero et al. 2011,10.1016/j.still.2011.04.007,No till,150 kg N ha-1,NA,NA,NA,NA,NA,"No till, 150 kg N ha-1",,
Melero et al. 2011,10.1016/j.still.2011.04.007,Conventional tillage,0 kg N ha-1,NA,NA,NA,NA,NA,"Conventional tillage, 0 kg N ha-1",,
Melero et al. 2011,10.1016/j.still.2011.04.007,Conventional tillage,50 kg N ha-1,NA,NA,NA,NA,NA,"Conventional tillage, 50 kg N ha-1",,
Melero et al. 2011,10.1016/j.still.2011.04.007,Conventional tillage,150 kg N ha-1,NA,NA,NA,NA,NA,"Conventional tillage, 150 kg N ha-1",,
Melero et al. 2011,10.1016/j.still.2011.04.007,0 kg N ha-1,Conventional tillage,NA,NA,NA,NA,NA,"0 kg N ha-1, Conventional tillage",,
Melero et al. 2011,10.1016/j.still.2011.04.007,0 kg N ha-1,No till,NA,NA,NA,NA,NA,"0 kg N ha-1, No till",,
Melero et al. 2011,10.1016/j.still.2011.04.007,50 kg N ha-1,Conventional tillage,NA,NA,NA,NA,NA,"50 kg N ha-1, Conventional tillage",,
Melero et al. 2011,10.1016/j.still.2011.04.007,50 kg N ha-1,No till,NA,NA,NA,NA,NA,"50 kg N ha-1, No till",,
Melero et al. 2011,10.1016/j.still.2011.04.007,150 kg N ha-1,Conventional tillage,NA,NA,NA,NA,NA,"150 kg N ha-1, Conventional tillage",,
Melero et al. 2011,10.1016/j.still.2011.04.007,150 kg N ha-1,No till,NA,NA,NA,NA,NA,"150 kg N ha-1, No till",,
Tian et al. 2016,10.1016/j.still.2016.06.005,Beginning soil properties,NA,NA,NA,NA,NA,NA,Beginning soil properties,0,
Tian et al. 2016,10.1016/j.still.2016.06.005,Hallow tillage,NA,NA,NA,NA,NA,NA,Hallow tillage,1,1
Tian et al. 2016,10.1016/j.still.2016.06.005,Rotary tillage,NA,NA,NA,NA,NA,NA,Rotary tillage,2,
Tian et al. 2016,10.1016/j.still.2016.06.005,No till,NA,NA,NA,NA,NA,NA,No till,3,
Tian et al. 2016,10.1016/j.still.2016.06.005,Hallow tillage-deep tillage conversion,NA,NA,NA,NA,NA,NA,Hallow tillage-deep tillage conversion,4,
Tian et al. 2016,10.1016/j.still.2016.06.005,Rotary tillage-deep tillage conversion,NA,NA,NA,NA,NA,NA,Rotary tillage-deep tillage conversion,5,
Tian et al. 2016,10.1016/j.still.2016.06.005,No till-deep tillage conversion,NA,NA,NA,NA,NA,NA,No till-deep tillage conversion,6,
Muñoz-Romero et al. 2017,10.1016/j.still.2017.02.004,No till,NA,NA,NA,NA,NA,NA,No till,2,
Muñoz-Romero et al. 2017,10.1016/j.still.2017.02.004,Conventional tillage,NA,NA,NA,NA,NA,NA,Conventional tillage,1,1
Pikul et al. 2001,10.1016/S0167-1987(01)00174-X,Ridge tillage,NA,NA,NA,NA,NA,NA,Ridge tillage,2,
Pikul et al. 2001,10.1016/S0167-1987(01)00174-X,Conventional tillage,NA,NA,NA,NA,NA,NA,Conventional tillage,1,1
Pikul et al. 2001,10.1016/S0167-1987(01)00174-X,High N,NA,NA,NA,NA,NA,NA,High N,3,
Pikul et al. 2001,10.1016/S0167-1987(01)00174-X,Medium N,NA,NA,NA,NA,NA,NA,Medium N,4,
Pikul et al. 2001,10.1016/S0167-1987(01)00174-X,Low N,NA,NA,NA,NA,NA,NA,Low N,5,
Hernanz et al. 2002,10.1016/S0167-1987(02)00021-1,Conventional tillage,NA,NA,NA,NA,NA,NA,Conventional tillage,,
Hernanz et al. 2002,10.1016/S0167-1987(02)00021-1,Minimum tillage,NA,NA,NA,NA,NA,NA,Minimum tillage,,
Hernanz et al. 2002,10.1016/S0167-1987(02)00021-1,No till,NA,NA,NA,NA,NA,NA,No till,,
Hernanz et al. 2002,10.1016/S0167-1987(02)00021-1,Zero till,NA,NA,NA,NA,NA,NA,Zero till,,
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,Boxworth site,Tine/disc cultivation to 15 cm on chopped straw,NA,NA,NA,NA,NA,Tine/disc cultivation to 15 cm on chopped straw,1,
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,Boxworth site,Plowed to 20 cm on chopped straw,NA,NA,NA,NA,NA,Plowed to 20 cm on chopped straw,2,1
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,Boxworth site,Straw burned followed by tine/disc cultivation to 10 cm,NA,NA,NA,NA,NA,Straw burned followed by tine/disc cultivation to 10 cm,3,
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,Drayton site,Tine/disc cultivation to 15 cm on chopped straw,NA,NA,NA,NA,NA,Tine/disc cultivation to 15 cm on chopped straw,1,
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,Drayton site,Plowed to 20 cm on chopped straw,NA,NA,NA,NA,NA,Plowed to 20 cm on chopped straw,2,1
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,Drayton site,Straw burned followed by tine/disc cultivation to 10 cm,NA,NA,NA,NA,NA,Straw burned followed by tine/disc cultivation to 10 cm,3,
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,Bridgets site,Tine/disc cultivation to 15 cm on chopped straw,NA,NA,NA,NA,NA,Tine/disc cultivation to 15 cm on chopped straw,1,
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,Bridgets site,Plowed to 20 cm on chopped straw,NA,NA,NA,NA,NA,Plowed to 20 cm on chopped straw,2,1
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,Bridgets site,Straw burned followed by tine/disc cultivation to 10 cm,NA,NA,NA,NA,NA,Straw burned followed by tine/disc cultivation to 10 cm,3,
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,High Mowthorpe site,Tine/disc cultivation to 15 cm on chopped straw,NA,NA,NA,NA,NA,Tine/disc cultivation to 15 cm on chopped straw,1,
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,High Mowthorpe site,Plowed to 20 cm on chopped straw,NA,NA,NA,NA,NA,Plowed to 20 cm on chopped straw,2,1
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,High Mowthorpe site,Straw burned followed by tine/disc cultivation to 10 cm,NA,NA,NA,NA,NA,Straw burned followed by tine/disc cultivation to 10 cm,3,
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,Terrington site,Tine/disc cultivation to 15 cm on chopped straw,NA,NA,NA,NA,NA,Tine/disc cultivation to 15 cm on chopped straw,1,
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,Terrington site,Plowed to 20 cm on chopped straw,NA,NA,NA,NA,NA,Plowed to 20 cm on chopped straw,2,1
Turley et al. 2003,10.1016/S0167-1987(03)00018-7,Terrington site,Straw burned followed by tine/disc cultivation to 10 cm,NA,NA,NA,NA,NA,Straw burned followed by tine/disc cultivation to 10 cm,3,
Van Doren et al. 1977,10.1016/S0167-1987(03)00018-7,Continuous corn,Conventional tillage,NA,NA,NA,NA,NA,"Continuous corn, Conventional tillage",1,1
Van Doren et al. 1977,10.1016/S0167-1987(03)00018-7,Continuous corn,Minimum tillage,NA,NA,NA,NA,NA,"Continuous corn, Minimum tillage",2,
Van Doren et al. 1977,10.1016/S0167-1987(03)00018-7,Continuous corn,No till,NA,NA,NA,NA,NA,"Continuous corn, No till",3,
Van Doren et al. 1977,10.1016/S0167-1987(03)00018-7,Corn-soybean rotation,Conventional tillage,NA,NA,NA,NA,NA,"Corn-soybean rotation, Conventional tillage",4,
Van Doren et al. 1977,10.1016/S0167-1987(03)00018-7,Corn-soybean rotation,Minimum tillage,NA,NA,NA,NA,NA,"Corn-soybean rotation, Minimum tillage",5,
Van Doren et al. 1977,10.1016/S0167-1987(03)00018-7,Corn-soybean rotation,No till,NA,NA,NA,NA,NA,"Corn-soybean rotation, No till",6,
Van Doren et al. 1977,10.1016/S0167-1987(03)00018-7,Corn-oats-hay rotation,Conventional tillage,NA,NA,NA,NA,NA,"Corn-oats-hay rotation, Conventional tillage",7,
Van Doren et al. 1977,10.1016/S0167-1987(03)00018-7,Corn-oats-hay rotation,Minimum tillage,NA,NA,NA,NA,NA,"Corn-oats-hay rotation, Minimum tillage",8,
Van Doren et al. 1977,10.1016/S0167-1987(03)00018-7,Corn-oats-hay rotation,No till,NA,NA,NA,NA,NA,"Corn-oats-hay rotation, No till",9,
Carter 1996,10.1016/S0167-1987(96)01023-9,Beginning soil properties,NA,NA,NA,NA,NA,NA,Beginning soil properties,0,
Carter 1996,10.1016/S0167-1987(96)01023-9,All treatments (mean),NA,NA,NA,NA,NA,NA,All treatments (mean),0,
Carter 1996,10.1016/S0167-1987(96)01023-9,Moldboard plow,NA,NA,NA,NA,NA,NA,Moldboard plow,1,1
Carter 1996,10.1016/S0167-1987(96)01023-9,Chisel plow,NA,NA,NA,NA,NA,NA,Chisel plow,2,
Ekeberg and Riley 1997,10.1016/S0167-1987(97)00008-1,Plow,NA,NA,NA,NA,NA,NA,Plow,1,1
Ekeberg and Riley 1997,10.1016/S0167-1987(97)00008-1,Tine 12 cm,NA,NA,NA,NA,NA,NA,Tine 12 cm,2,
Ekeberg and Riley 1997,10.1016/S0167-1987(97)00008-1,Tine 6 cm,NA,NA,NA,NA,NA,NA,Tine 6 cm,3,
Ekeberg and Riley 1997,10.1016/S0167-1987(97)00008-1,Minimum,NA,NA,NA,NA,NA,NA,Minimum,4,
Karlen et al. 1998,10.1016/S0167-1987(98)00142-1,Moldboard plow,NA,NA,NA,NA,NA,NA,Moldboard plow,1,1
Karlen et al. 1998,10.1016/S0167-1987(98)00142-1,Chisel plow,NA,NA,NA,NA,NA,NA,Chisel plow,2,
Karlen et al. 1998,10.1016/S0167-1987(98)00142-1,Ridge tillage,NA,NA,NA,NA,NA,NA,Ridge tillage,3,
Karlen et al. 1998,10.1016/S0167-1987(98)00142-1,No till,NA,NA,NA,NA,NA,NA,No till,4,
Karlen et al. 1998,10.1016/S0167-1987(98)00142-1,No tillage,NA,NA,NA,NA,NA,NA,No tillage,4,
Huang et al. 2006,10.1016/S1002-0160(06)60100-8,Conventional tillage,NA,NA,NA,NA,NA,NA,Conventional tillage,1,1
Huang et al. 2006,10.1016/S1002-0160(06)60100-8,Ridge tillage,NA,NA,NA,NA,NA,NA,Ridge tillage,2,
Zhang et al. 2009,10.1017/S0021859608008265,Beginning soil properties,Chongqing site,NA,NA,NA,NA,NA,"Beginning soil properties, Chongqing site",0,
Zhang et al. 2009,10.1017/S0021859608008265,Beginning soil properties,Gongzhuling site,NA,NA,NA,NA,NA,"Beginning soil properties, Gongzhuling site",0,
Zhang et al. 2009,10.1017/S0021859608008265,Beginning soil properties,Hangzhou site,NA,NA,NA,NA,NA,"Beginning soil properties, Hangzhou site",0,
Zhang et al. 2009,10.1017/S0021859608008265,Beginning soil properties,Qiyang site,NA,NA,NA,NA,NA,"Beginning soil properties, Qiyang site",0,
Zhang et al. 2009,10.1017/S0021859608008265,Beginning soil properties,Suining site,NA,NA,NA,NA,NA,"Beginning soil properties, Suining site",0,
Zhang et al. 2009,10.1017/S0021859608008265,Beginning soil properties,Wuchange site,NA,NA,NA,NA,NA,"Beginning soil properties, Wuchange site",0,
Zhang et al. 2009,10.1017/S0021859608008265,Beginning soil properties,Xuzhou site,NA,NA,NA,NA,NA,"Beginning soil properties, Xuzhou site",0,
Zhang et al. 2009,10.1017/S0021859608008265,Beginning soil properties,Yangling site,NA,NA,NA,NA,NA,"Beginning soil properties, Yangling site",0,
Zhang et al. 2009,10.1017/S0021859608008265,Beginning soil properties,Zhengzhou site,NA,NA,NA,NA,NA,"Beginning soil properties, Zhengzhou site",0,
Zhang et al. 2009,10.1017/S0021859608008265,Chongqing site,NPK plus manure fertilizer,NA,NA,NA,NA,NA,NPK plus manure fertilizer,2,
Zhang et al. 2009,10.1017/S0021859608008265,Gongzhuling site,NPK plus manure fertilizer,NA,NA,NA,NA,NA,NPK plus manure fertilizer,2,
Zhang et al. 2009,10.1017/S0021859608008265,Hangzhou site,NPK plus manure fertilizer,NA,NA,NA,NA,NA,NPK plus manure fertilizer,2,
Zhang et al. 2009,10.1017/S0021859608008265,Qiyang site,NPK plus manure fertilizer,NA,NA,NA,NA,NA,NPK plus manure fertilizer,2,
Zhang et al. 2009,10.1017/S0021859608008265,Suining site,NPK plus manure fertilizer,NA,NA,NA,NA,NA,NPK plus manure fertilizer,2,
Zhang et al. 2009,10.1017/S0021859608008265,Wuchang site,NPK plus manure fertilizer,NA,NA,NA,NA,NA,NPK plus manure fertilizer,2,
Zhang et al. 2009,10.1017/S0021859608008265,Xuzhou site,NPK plus manure fertilizer,NA,NA,NA,NA,NA,NPK plus manure fertilizer,2,
Zhang et al. 2009,10.1017/S0021859608008265,Yangling site,NPK plus manure fertilizer,NA,NA,NA,NA,NA,NPK plus manure fertilizer,2,
Zhang et al. 2009,10.1017/S0021859608008265,Zhengzhou site,NPK plus manure fertilizer,NA,NA,NA,NA,NA,NPK plus manure fertilizer,2,
Tan et al. 2015,10.1038/srep17592,Conventional tillage,NA,NA,NA,NA,NA,NA,Conventional tillage,1,1
Tan et al. 2015,10.1038/srep17592,No till,NA,NA,NA,NA,NA,NA,No till,2,
Tan et al. 2015,10.1038/srep17592,Straw mulching,NA,NA,NA,NA,NA,NA,Straw mulching,3,
Tan et al. 2015,10.1038/srep17592,Plastic mulching,NA,NA,NA,NA,NA,NA,Plastic mulching,4,
Tan et al. 2015,10.1038/srep17592,Ridging and plastic mulching,NA,NA,NA,NA,NA,NA,Ridging and plastic mulching,5,
Tan et al. 2015,10.1038/srep17592,Interplanting with alfalfa,NA,NA,NA,NA,NA,NA,Interplanting with alfalfa,6,
Karlen et al. 1989,10.1080/00103628909368158,Conventional tillage,NA,NA,NA,NA,NA,NA,Conventional tillage,2,
Karlen et al. 1989,10.1080/00103628909368158,Conservation tillage,NA,NA,NA,NA,NA,NA,Conservation tillage,1,1
Karlen et al. 1989,10.1080/00103628909368158,Depth effect,NA,NA,NA,NA,NA,NA,Depth effect,0,
Kumar et al. 2014,10.1080/00380768.2013.878643,No till,NA,NA,NA,NA,NA,NA,No till,2,
Kumar et al. 2014,10.1080/00380768.2013.878643,Chisel till,NA,NA,NA,NA,NA,NA,Chisel till,1,1
Kumar et al. 2014,10.1080/00380768.2013.878643,Tile-drained,NA,NA,NA,NA,NA,NA,Tile-drained,3,
Kumar et al. 2014,10.1080/00380768.2013.878643,Undrained,NA,NA,NA,NA,NA,NA,Undrained,4,
He et al. 2009,10.1111/j.1475-2743.2009.00210.x,Beginning soil properties,NA,NA,NA,NA,NA,NA,Beginning soil properties,0,
He et al. 2009,10.1111/j.1475-2743.2009.00210.x,No till with straw cover,NA,NA,NA,NA,NA,NA,No till with straw cover,4,
He et al. 2009,10.1111/j.1475-2743.2009.00210.x,Subsoiling with straw cover,NA,NA,NA,NA,NA,NA,Subsoiling with straw cover,3,
He et al. 2009,10.1111/j.1475-2743.2009.00210.x,Rototilling with straw cover,NA,NA,NA,NA,NA,NA,Rototilling with straw cover,2,
He et al. 2009,10.1111/j.1475-2743.2009.00210.x,Traditional plowing,NA,NA,NA,NA,NA,NA,Traditional plowing,1,1
Thierfelder and Wall 2012,10.1111/j.1475-2743.2012.00406.x,Chikato site,Beginning soil properties,NA,NA,NA,NA,NA,Beginning soil properties,0,
Thierfelder and Wall 2012,10.1111/j.1475-2743.2012.00406.x,Chikato site,Conventional plowing,NA,NA,NA,NA,NA,Conventional plowing,1,1
Thierfelder and Wall 2012,10.1111/j.1475-2743.2012.00406.x,Chikato site,Ripline seeding,NA,NA,NA,NA,NA,Ripline seeding,2,
Thierfelder and Wall 2012,10.1111/j.1475-2743.2012.00406.x,Chikato site,Direct seeding,NA,NA,NA,NA,NA,Direct seeding,3,
Thierfelder and Wall 2012,10.1111/j.1475-2743.2012.00406.x,Henderson site,Beginning soil properties,NA,NA,NA,NA,NA,Beginning soil properties,0,
Thierfelder and Wall 2012,10.1111/j.1475-2743.2012.00406.x,Henderson site,Conventional plowing,NA,NA,NA,NA,NA,Conventional plowing,4,1
Thierfelder and Wall 2012,10.1111/j.1475-2743.2012.00406.x,Henderson site,Ripline seeding,NA,NA,NA,NA,NA,Ripline seeding,5,
Thierfelder and Wall 2012,10.1111/j.1475-2743.2012.00406.x,Henderson site,Direct seeding,NA,NA,NA,NA,NA,Direct seeding,6,
Thierfelder and Wall 2012,10.1111/j.1475-2743.2012.00406.x,Hereford site,Beginning soil properties,NA,NA,NA,NA,NA,Beginning soil properties,0,
Thierfelder and Wall 2012,10.1111/j.1475-2743.2012.00406.x,Hereford site,Conventional plowing,NA,NA,NA,NA,NA,Conventional plowing,7,1
Thierfelder and Wall 2012,10.1111/j.1475-2743.2012.00406.x,Hereford site,Ripline seeding,NA,NA,NA,NA,NA,Ripline seeding,8,
Thierfelder and Wall 2012,10.1111/j.1475-2743.2012.00406.x,Hereford site,Direct seeding,NA,NA,NA,NA,NA,Direct seeding,9,
Sainju et al. 2015,10.1186/s40064-015-1122-4,Beginning soil properties (estimated from nearby grassland),NA,NA,NA,NA,NA,NA,Beginning soil properties (estimated from nearby grassland),0,
Sainju et al. 2015,10.1186/s40064-015-1122-4,No till,Continuous spring wheat rotation,NA,NA,NA,NA,NA,"No till, Continuous spring wheat rotation",,
Sainju et al. 2015,10.1186/s40064-015-1122-4,Spring till,Continuous spring wheat rotation,NA,NA,NA,NA,NA,"Spring till, Continuous spring wheat rotation",,
Sainju et al. 2015,10.1186/s40064-015-1122-4,Fall and spring till,Continuous spring wheat rotation,NA,NA,NA,NA,NA,"Fall and spring till, Continuous spring wheat rotation",,
Sainju et al. 2015,10.1186/s40064-015-1122-4,Fall and spring till,Wheat-barley/wheat-pea rotation,NA,NA,NA,NA,NA,"Fall and spring till, Wheat-barley/wheat-pea rotation",,
Sainju et al. 2015,10.1186/s40064-015-1122-4,Spring till,Spring wheat-fallow rotation,NA,NA,NA,NA,NA,"Spring till, Spring wheat-fallow rotation",,
Mazzoncini et al. 2008,10.2134/agronj2007.0173,Beginning soil properties,NA,NA,NA,NA,NA,NA,Beginning soil properties,0,
Wang et al. 2008,10.2134/agronj2008.0012,Cowpea incorporated,NA,NA,NA,NA,NA,NA,Cowpea incorporated,3,
